date,home_team,score,away_team
24-05-2025,Alaves,1 - 1,Osasuna
18-05-2025,Valladolid,0 - 1,Alaves
14-05-2025,Alaves,1 - 0,Valencia
11-05-2025,Ath Bilbao,1 - 0,Alaves
03-05-2025,Alaves,0 - 0,Ath Madrid
23-04-2025,Alaves,1 - 0,Sociedad
20-04-2025,Sevilla,1 - 1,Alaves
13-04-2025,Alaves,0 - 1,Real Madrid
05-04-2025,Girona,0 - 1,Alaves
29-03-2025,Alaves,0 - 2,Vallecano
14-03-2025,Las Palmas,2 - 2,Alaves
08-03-2025,Alaves,1 - 0,Villarreal
02-03-2025,Mallorca,1 - 1,Alaves
22-02-2025,Alaves,0 - 1,Espanol
15-02-2025,Leganes,3 - 3,Alaves
09-02-2025,Alaves,0 - 1,Getafe
02-02-2025,FC Barcelona,1 - 0,Alaves
27-01-2025,Alaves,1 - 1,Celta
18-01-2025,Betis,1 - 3,Alaves
11-01-2025,Alaves,0 - 1,Girona
22-12-2024,Valencia,2 - 2,Alaves
15-12-2024,Alaves,1 - 1,Ath Bilbao
08-12-2024,Osasuna,2 - 2,Alaves
30-11-2024,Alaves,1 - 1,Leganes
23-11-2024,Ath Madrid,2 - 1,Alaves
09-11-2024,Villarreal,3 - 0,Alaves
01-11-2024,Alaves,1 - 0,Mallorca
26-10-2024,Vallecano,1 - 0,Alaves
18-10-2024,Alaves,2 - 3,Valladolid
06-10-2024,Alaves,0 - 3,FC Barcelona
28-09-2024,Getafe,2 - 0,Alaves
24-09-2024,Real Madrid,3 - 2,Alaves
20-09-2024,Alaves,2 - 1,Sevilla
14-09-2024,Espanol,3 - 2,Alaves
01-09-2024,Alaves,2 - 0,Las Palmas
28-08-2024,Sociedad,1 - 2,Alaves
25-08-2024,Alaves,0 - 0,Betis
16-08-2024,Celta,2 - 1,Alaves
25-05-2025,Ath Bilbao,0 - 3,FC Barcelona
18-05-2025,Valencia,0 - 1,Ath Bilbao
15-05-2025,Getafe,0 - 2,Ath Bilbao
11-05-2025,Ath Bilbao,1 - 0,Alaves
04-05-2025,Sociedad,0 - 0,Ath Bilbao
23-04-2025,Ath Bilbao,1 - 0,Las Palmas
20-04-2025,Real Madrid,1 - 0,Ath Bilbao
13-04-2025,Ath Bilbao,3 - 1,Vallecano
06-04-2025,Villarreal,0 - 0,Ath Bilbao
30-03-2025,Ath Bilbao,0 - 0,Osasuna
16-03-2025,Sevilla,0 - 1,Ath Bilbao
09-03-2025,Ath Bilbao,1 - 1,Mallorca
01-03-2025,Ath Madrid,1 - 0,Ath Bilbao
23-02-2025,Ath Bilbao,7 - 1,Valladolid
16-02-2025,Espanol,1 - 1,Ath Bilbao
08-02-2025,Ath Bilbao,3 - 0,Girona
02-02-2025,Betis,2 - 2,Ath Bilbao
26-01-2025,Ath Bilbao,0 - 0,Leganes
19-01-2025,Celta,1 - 2,Ath Bilbao
21-12-2024,Osasuna,1 - 2,Ath Bilbao
15-12-2024,Alaves,1 - 1,Ath Bilbao
08-12-2024,Ath Bilbao,2 - 0,Villarreal
04-12-2024,Ath Bilbao,2 - 1,Real Madrid
01-12-2024,Vallecano,1 - 2,Ath Bilbao
24-11-2024,Ath Bilbao,1 - 0,Sociedad
10-11-2024,Valladolid,1 - 1,Ath Bilbao
03-11-2024,Ath Bilbao,1 - 1,Betis
28-10-2024,Mallorca,0 - 0,Ath Bilbao
19-10-2024,Ath Bilbao,4 - 1,Espanol
06-10-2024,Girona,2 - 1,Ath Bilbao
29-09-2024,Ath Bilbao,1 - 1,Sevilla
22-09-2024,Ath Bilbao,3 - 1,Celta
19-09-2024,Leganes,0 - 2,Ath Bilbao
15-09-2024,Las Palmas,2 - 3,Ath Bilbao
31-08-2024,Ath Bilbao,0 - 1,Ath Madrid
28-08-2024,Ath Bilbao,1 - 0,Valencia
24-08-2024,FC Barcelona,2 - 1,Ath Bilbao
15-08-2024,Ath Bilbao,1 - 1,Getafe
25-05-2025,Girona,0 - 4,Ath Madrid
18-05-2025,Ath Madrid,4 - 1,Betis
15-05-2025,Osasuna,2 - 0,Ath Madrid
10-05-2025,Ath Madrid,4 - 0,Sociedad
03-05-2025,Alaves,0 - 0,Ath Madrid
24-04-2025,Ath Madrid,3 - 0,Vallecano
19-04-2025,Las Palmas,1 - 0,Ath Madrid
14-04-2025,Ath Madrid,4 - 2,Valladolid
06-04-2025,Sevilla,1 - 2,Ath Madrid
29-03-2025,Espanol,1 - 1,Ath Madrid
16-03-2025,Ath Madrid,2 - 4,FC Barcelona
09-03-2025,Getafe,2 - 1,Ath Madrid
01-03-2025,Ath Madrid,1 - 0,Ath Bilbao
22-02-2025,Valencia,0 - 3,Ath Madrid
15-02-2025,Ath Madrid,1 - 1,Celta
