Bank Name,Region,Address,Website,Page Link
"1. Garant Bank"" head office pro",Tashkent region,"Uzbekistan, 100060, Tashkent region, Tashkent, Mirabad district, street SAID BARAKA, 78",info@garantbank.uz,https://www.yellowpages.uz/en/company/garant-bank-stock-company-operational-department
2. AGROBANK STOCK COMMERCE BANK BUKHARA DEPARTMENT OF BUKHARA AREA,Bukhara region,"Uzbekistan, 200107, Bukhara region, Bukhara, street BAKHOUDDIN NAKSHBANDI, 151/2",agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-bukhara-department-of-bukhara-area
3. AGROBANK STOCK COMMERCE BANK STATE DEPARMENT OF DZHIZAK AREA,Dzhizak region,"Uzbekistan, 130100, Dzhizak region, Jizak, street BAYNALMINALCHI, 18",agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-state-deparment-of-dzhizak-area
4. AGROBANK STOCK COMMERCE BANK STATE DEPARTMENT OF KASHKADARYA AREA,Kashkadarya region,"Uzbekistan, 180100, Kashkadarya region, Karshi, street NAVOI, 2",agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-state-department-of-kashkadarya-area
5. AGROBANK STOCK COMMERCE BANK STATE DEPARTMENT OF REOUBLIC OF KARAKALPAKSTAN,Republic of Karakalpakstan,"Uzbekistan, 230100, Republic of Karakalpakstan, Nukus, street SHAMURADOV, 101 А",agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-state-department-of-reoublic-of-karakalpakstan
6. AGROBANK STOCK COMMERCE BANK STATE DEPARTMENT OF REOUBLIC OF UZBEKISTAN,Tashkent region,"Uzbekistan, 100096, Tashkent region, Tashkent, Chilanzar district, street MUKIMI, 43",headoffice@agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-state-department-of-reoublic-of-uzbekistan
7. AGROBANK STOCK COMMERCE BANK STATE DEARTMENT OF SIRDARYA AREA,Sir-Darya region,"Uzbekistan, 120100, Sir-Darya region, Gulistan, street BIRLASHGAN, 21",agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-state-deartment-of-sirdarya-area
8. AGROBANK STOCK COMMERCE BANK STATE DEPARTMENT OF FERGANA AREA,Fergana region,"Uzbekistan, 150100, Fergana region, Fergana, street NAVOI, 11",agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-state-department-of-fergana-area
9. AGROBANK STOCK COMMERCE BANK STATE DEPARTMENT OF KHOREZM AREA,Khorezm region,"Uzbekistan, 220100, Khorezm region, Urgench, street AL-KHOREZMY, 25 A",agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-state-department-of-khorezm-area
10. AGROBANK STOCK COMMERCE BANK TASHKENT CITY DEPARTMENT,Tashkent region,"Uzbekistan, 100043, Tashkent region, Tashkent, Chilanzar district, avenue BUNYODKOR, 15 V",headoffice@agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-tashkent-city-department
